year,state,sector,sex,age,ind_lang,educ_years,hrs_wk,inc_m,USDist_km
2010,1,"Services",1,30,0,12,48,3600,600.6932
2010,1,"Services",0,16,0,9,98,4286,557.6143
2010,1,"Agriculture",0,19,0,10,24,1286,616.0118
2010,1,"Manufacturing",0,29,0,12,45,4286,550.4415
2010,1,"Services",0,38,0,9,40,4600,597.9345
2010,1,"Services",0,50,0,13,30,8000,561.4097
2010,1,"Agriculture",0,23,0,12,40,4286,576.3932
2010,2,"Services",0,63,0,6,24,2143,262.4229
2010,2,"Manufacturing",1,44,0,9,20,8571,90.35693
2010,2,"Services",0,21,0,12,48,5143,17.32809
2010,3,"Services",0,53,0,6,42,5143,789.9296
2010,3,"Services",0,41,0,9,48,6429,873.3539
2010,4,"Manufacturing",1,71,1,6,56,1071,935.03
2010,4,"Services",0,56,0,9,40,7100,990.4947
2010,4,"Services",1,34,0,3,136,4286,1003.844
2010,4,"Agriculture",0,46,0,6,98,5143,965.3533
2010,5,"Services",0,49,0,3,49,4714,194.0356
2010,5,"Manufacturing",0,21,0,16,48,3214,198.1734
2010,5,"Agriculture",0,63,0,3,60,3000,293.0302
2010,5,"Services",1,21,0,12,48,4071,188.0016
2010,5,"Agriculture",0,20,0,12,45,2571,376.8802
2010,5,"Services",1,55,0,11,40,4286,163.7008
2010,5,"Manufacturing",0,22,0,15,66,7714,67.92961
2010,5,"Services",1,35,0,16,25,6000,131.0172
2010,5,"Agriculture",0,69,0,3,35,1714,185.5017
2010,5,"Services",0,28,0,12,40,3857,313.8021
2010,5,"Services",1,43,0,8,24,2143,6.60933
2010,5,"Agriculture",0,48,0,16,72,6429,219.4536
2010,5,"Services",0,51,0,16,48,24000,92.10947
2010,5,"Services",0,52,0,9,35,3000,253.3858
2010,5,"Services",1,46,0,11,48,3000,169.2829
2010,5,"Services",0,35,0,9,39,4286,419.9296
2010,5,"Services",0,18,0,12,30,2571,72.06271
2010,6,"Services",1,43,0,18,50,8000,927.2943
2010,6,"Services",1,17,0,11,20,1400,935.5383
2010,6,"Agriculture",0,14,0,6,6,343,944.0714
2010,6,"Services",0,47,0,3,48,6429,960.2075
2010,6,"Services",0,60,0,12,32,30000,1027.323
2010,6,"Services",0,44,1,17,70,12000,919.9224
2010,7,"Manufacturing",0,23,0,9,70,3000,1128.036
2010,7,"Services",0,20,0,9,48,2400,1264.851
